Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
750.2052,-0.7694,-0.76851,-0.85279
750.6873,-0.76014,-0.75752,-0.83872
751.1694,-0.75084,-0.74699,-0.8247
751.6516,-0.74178,-0.73687,-0.8108
752.1337,-0.73313,-0.72705,-0.7971
752.6158,-0.72489,-0.7174,-0.78378
753.098,-0.7169,-0.70773,-0.77098
753.5801,-0.70892,-0.69795,-0.75883
754.0623,-0.70071,-0.68807,-0.74741
754.5444,-0.69214,-0.67823,-0.7367
755.0266,-0.68313,-0.66866,-0.72668
755.5087,-0.67365,-0.65962,-0.71726
755.9908,-0.66367,-0.65132,-0.70831
756.473,-0.6531,-0.64383,-0.69975
756.9551,-0.64186,-0.63707,-0.69146
757.4373,-0.62998,-0.63083,-0.68343
757.9194,-0.61761,-0.62485,-0.67558
758.4015,-0.60509,-0.61887,-0.66793
758.8837,-0.59286,-0.61267,-0.66044
759.3658,-0.58137,-0.60613,-0.65303
759.8479,-0.57089,-0.59922,-0.64561
760.3301,-0.56149,-0.59196,-0.63804
760.8122,-0.55299,-0.58444,-0.63023
761.2943,-0.54505,-0.57673,-0.62208
761.7765,-0.53733,-0.56892,-0.61359
762.2586,-0.52954,-0.56106,-0.60483
762.7407,-0.5215,-0.55319,-0.5959
763.2229,-0.51318,-0.54532,-0.58698
763.705,-0.50458,-0.53743,-0.5782
764.1871,-0.49573,-0.52949,-0.56974
764.6693,-0.48669,-0.52149,-0.56174
765.1514,-0.47749,-0.51343,-0.55431
765.6335,-0.46817,-0.50537,-0.54758
766.1157,-0.45886,-0.49739,-0.5416
766.5978,-0.44963,-0.48957,-0.53637
767.08,-0.44053,-0.48191,-0.53179
767.5621,-0.43154,-0.47436,-0.5277
768.0443,-0.42248,-0.46678,-0.52384
768.5264,-0.41309,-0.45902,-0.51995
769.0085,-0.40318,-0.45093,-0.51583
769.4907,-0.3926,-0.44246,-0.51131
769.9728,-0.3814,-0.43369,-0.50635
770.455,-0.36985,-0.42482,-0.50092
770.9371,-0.35831,-0.41609,-0.49508
771.4192,-0.34714,-0.40776,-0.48885
771.9014,-0.33664,-0.39999,-0.48222
772.3835,-0.32691,-0.39279,-0.47519
772.8656,-0.31788,-0.38607,-0.46772
773.3478,-0.3094,-0.37964,-0.45978
773.8299,-0.30124,-0.37336,-0.45135
774.312,-0.29322,-0.36708,-0.44249
774.7942,-0.28527,-0.36077,-0.43322
775.2763,-0.27735,-0.35444,-0.42359
775.7584,-0.26948,-0.34818,-0.41371
776.2406,-0.26171,-0.34205,-0.40363
776.7227,-0.25405,-0.33608,-0.39347
777.2048,-0.24652,-0.33024,-0.3833
777.687,-0.23914,-0.32443,-0.37324
778.1691,-0.23197,-0.31857,-0.36334
778.6512,-0.2251,-0.31255,-0.35362
779.1334,-0.21866,-0.30635,-0.34406
779.6155,-0.21275,-0.29994,-0.33461
780.0977,-0.20742,-0.29338,-0.32525
780.5798,-0.20267,-0.28673,-0.316
781.062,-0.19841,-0.28008,-0.30691
781.5441,-0.19445,-0.27356,-0.29813
782.0262,-0.1906,-0.26724,-0.28977
782.5084,-0.18665,-0.26122,-0.28194
782.9905,-0.18242,-0.25555,-0.27465
783.4727,-0.17785,-0.25024,-0.26781
783.9548,-0.17292,-0.24526,-0.26127
784.4369,-0.16766,-0.24058,-0.2548
